period_dt,broad_group,total_value,total_qty,unit_price
2018-04-01,Graphite,46751796.0,33759544.0,1.3848467858452116
2018-04-01,Polysilicon,7342599.0,168346.015,43.61611410878956
2018-04-01,Rare Earths,205895890.0,11604112.934,17.74335454774194
2018-05-01,Gallium/Germanium,177988347.0,13240957.213,13.442256789807512
2018-05-01,Graphite,57063766.0,40502185.0,1.4089058652020872
2018-05-01,Polysilicon,6741230.0,90598.707,74.4075740506981
2018-05-01,Rare Earths,226161712.0,13121694.07,17.2357098705015
2018-06-01,Gallium/Germanium,160486773.0,11089215.0,14.472329466062297
2018-06-01,Graphite,61577912.0,45406760.0,1.356139746592798
2018-06-01,Polysilicon,8754800.0,253003.0,34.603542250487145
2018-06-01,Rare Earths,214469450.0,13911863.44,15.416299256025475
2018-07-01,Gallium/Germanium,174045679.0,11740894.683,14.823885546985277
2018-07-01,Graphite,63779207.0,46422640.722,1.373881494203207
2018-07-01,Polysilicon,7157409.0,123313.305,58.042471572714724
2018-07-01,Rare Earths,200483635.0,12553051.542,15.97090829502467
2018-08-01,Gallium/Germanium,197517538.0,14510246.201,13.612280264850897
2018-08-01,Graphite,53513310.0,35566390.0,1.5046033628940132
2018-08-01,Polysilicon,7170747.0,121000.564,59.262095670892904
2018-08-01,Rare Earths,215862246.0,12480923.949,17.295373874727872
2018-09-01,Gallium/Germanium,183639332.0,12584087.645,14.592979418175373
2018-09-01,Graphite,68445153.0,40037093.0,1.7095435225529485
2018-09-01,Polysilicon,9548566.0,212169.0,45.00452940816047
2018-09-01,Rare Earths,212737017.0,12443353.802,17.096437213398783
2018-10-01,Gallium/Germanium,177626970.0,13065930.392,13.59466679148676
2018-10-01,Graphite,67506517.0,45990783.0,1.4678270861359328
2018-10-01,Polysilicon,7477373.0,84561.0,88.42578730147467
2018-10-01,Rare Earths,181138069.0,9832504.335,18.42237367292246
2018-11-01,Gallium/Germanium,210254171.0,16425058.217,12.800817398770988
2018-11-01,Graphite,62916685.0,36294464.0,1.733506382681392
2018-11-01,Polysilicon,9000199.0,84454.122,106.56909084911213
2018-11-01,Rare Earths,194311700.0,13027786.485,14.915173826630305
