period_dt,broad_group,yoy_growth_pct
2020-07-01,Graphite,-10.956717474105217
2020-08-01,Graphite,-4.56809837836223
2020-09-01,Graphite,16.555522539957234
2020-10-01,Graphite,23.122808263289027
2020-11-01,Graphite,35.32865176580053
2020-12-01,Graphite,47.78103570849985
2021-01-01,Graphite,47.806538153319366
2021-02-01,Graphite,71.57684892162914
2021-03-01,Graphite,53.472685685501254
2021-04-01,Graphite,45.05032718381171
2021-05-01,Graphite,21.569463139454417
2021-06-01,Graphite,57.41864692446941
2021-07-01,Graphite,60.351870133861844
2021-08-01,Graphite,57.204712961948815
2021-09-01,Graphite,25.735550269559393
2021-10-01,Graphite,20.585987244411644
2021-11-01,Graphite,13.964011161185981
2021-12-01,Graphite,4.0440940814268815
2022-01-01,Graphite,12.667316593826996
2022-02-01,Graphite,16.97578775035804
2022-03-01,Graphite,19.350505999237416
2022-04-01,Graphite,15.022394012161529
2022-05-01,Graphite,25.855851916736032
2022-06-01,Graphite,26.958024967704223
2022-07-01,Graphite,38.80138049112555
2022-08-01,Graphite,43.081157535323904
2022-09-01,Graphite,59.288894023580866
2022-10-01,Graphite,80.39054272776133
2022-11-01,Graphite,84.1144018443312
2022-12-01,Graphite,81.21547889407117
2023-01-01,Graphite,65.9577060940852
2023-02-01,Graphite,54.14736188826686
2023-03-01,Graphite,58.63306070894563
2023-04-01,Graphite,46.47629415710808
2023-05-01,Graphite,38.50860103893765
2023-06-01,Graphite,16.529541016383348
2023-07-01,Graphite,10.635080410355643
2023-08-01,Graphite,-0.8975814951362686
2023-09-01,Graphite,-9.07406688483652
2023-10-01,Graphite,-25.147141601341406
2023-11-01,Graphite,-16.454458183135234
2023-12-01,Graphite,-30.013569920849847
2024-01-01,Graphite,-39.31992923347577
2024-02-01,Graphite,-54.85948081715575
2024-03-01,Graphite,-40.47710992509878
2024-04-01,Graphite,-24.897452183003278
2024-05-01,Graphite,-19.58281646052728
2024-06-01,Graphite,-21.6788686927041
2024-07-01,Graphite,-34.89712606566036
2024-08-01,Graphite,-40.26570431622961
2024-09-01,Graphite,-41.532090798672435
2024-10-01,Graphite,-34.464900594144076
2024-11-01,Graphite,-38.83133501407796
2024-12-01,Graphite,-3.0544885618024815
2017-01-01,Polysilicon,
2017-02-01,Polysilicon,
2017-03-01,Polysilicon,
2017-04-01,Polysilicon,
2017-05-01,Polysilicon,
2017-06-01,Polysilicon,
2017-07-01,Polysilicon,
2017-08-01,Polysilicon,
2017-09-01,Polysilicon,
2017-10-01,Polysilicon,
2017-11-01,Polysilicon,
2017-12-01,Polysilicon,
2018-01-01,Polysilicon,
2018-02-01,Polysilicon,
2018-03-01,Polysilicon,-4.201356330345662
2018-04-01,Polysilicon,3.882846546599635
2018-05-01,Polysilicon,20.376099354581054
2018-06-01,Polysilicon,29.992691853630586
2018-07-01,Polysilicon,2.3998790449408034
2018-08-01,Polysilicon,-33.48128333702631
2018-09-01,Polysilicon,-44.424840533908345
2018-10-01,Polysilicon,-51.229988026492244
2018-11-01,Polysilicon,-50.73496430656718
2018-12-01,Polysilicon,-26.5823138995482
2019-01-01,Polysilicon,-12.846177237438056
2019-02-01,Polysilicon,-3.446622842337663
2019-03-01,Polysilicon,-17.867241755924525
2019-04-01,Polysilicon,-22.334853543496752
2019-05-01,Polysilicon,-19.65761597974473
2019-06-01,Polysilicon,-31.26172782997641
2019-07-01,Polysilicon,-30.257414755616665
2019-08-01,Polysilicon,-34.54590057131464
2019-09-01,Polysilicon,-30.363543224755585
2019-10-01,Polysilicon,-35.920685011755744
2019-11-01,Polysilicon,-36.338955595506
2019-12-01,Polysilicon,-27.393649275500422
2020-01-01,Polysilicon,-27.9682629287675
2020-02-01,Polysilicon,-29.76475864343766
2020-03-01,Polysilicon,-31.503670074999913
2020-04-01,Polysilicon,-18.6257109066899
2020-05-01,Polysilicon,-4.3864546135335125
2020-06-01,Polysilicon,6.582035159810445
2020-07-01,Polysilicon,21.89955545414109
2020-08-01,Polysilicon,32.01946379171034
2020-09-01,Polysilicon,20.004339639745243
2020-10-01,Polysilicon,18.35986425265795
2020-11-01,Polysilicon,29.88445948094441
2020-12-01,Polysilicon,25.815859279653097
2021-01-01,Polysilicon,21.390109791012936
2021-02-01,Polysilicon,48.931119286348235
2021-03-01,Polysilicon,70.98947832924428
2021-04-01,Polysilicon,77.12552188831074
2021-05-01,Polysilicon,58.171891386238904
2021-06-01,Polysilicon,67.3885297598538
2021-07-01,Polysilicon,63.04766288185726
2021-08-01,Polysilicon,67.14024263152423
2021-09-01,Polysilicon,72.95247483463048
2021-10-01,Polysilicon,105.46245912051462
2021-11-01,Polysilicon,94.49134135627423
2021-12-01,Polysilicon,110.47384397815203
2022-01-01,Polysilicon,107.73819408662406
2022-02-01,Polysilicon,94.48890989274453
2022-03-01,Polysilicon,68.49504711599884
2022-04-01,Polysilicon,52.35411658082552
2022-05-01,Polysilicon,71.8134431376252
2022-06-01,Polysilicon,60.09506019734156
2022-07-01,Polysilicon,53.305840791399596
2022-08-01,Polysilicon,33.50542911450243
2022-09-01,Polysilicon,42.54005660102343
2022-10-01,Polysilicon,59.93405919455292
2022-11-01,Polysilicon,37.88169278318431
2022-12-01,Polysilicon,17.533504888529027
2023-01-01,Polysilicon,-33.91503482743151
2023-02-01,Polysilicon,-16.6857910941297
2023-03-01,Polysilicon,49.07301984491164
2023-04-01,Polysilicon,69.46908107092521
2023-05-01,Polysilicon,77.02890577176586
2023-06-01,Polysilicon,129.09013306520032
2023-07-01,Polysilicon,138.4518265996225
2023-08-01,Polysilicon,112.07812091334658
2023-09-01,Polysilicon,-16.414207801898907
2023-10-01,Polysilicon,-51.722265978699795
2023-11-01,Polysilicon,15.507618016790616
2023-12-01,Polysilicon,52.02929875857799
2024-01-01,Polysilicon,123.02033037788978
2024-02-01,Polysilicon,105.9682726593385
2024-03-01,Polysilicon,73.69663624172713
2024-04-01,Polysilicon,101.47439559790818
2024-05-01,Polysilicon,125.90432015911153
2024-06-01,Polysilicon,140.87784776518555
2024-07-01,Polysilicon,145.40226937213916
2024-08-01,Polysilicon,328.71372181364154
2024-09-01,Polysilicon,481.1607534431004
2024-10-01,Polysilicon,479.903695556521
2024-11-01,Polysilicon,268.5256109858031
2024-12-01,Polysilicon,166.8885316169208
2017-01-01,Rare Earths,
2017-02-01,Rare Earths,
2017-03-01,Rare Earths,
2017-04-01,Rare Earths,
2017-05-01,Rare Earths,
2017-06-01,Rare Earths,
2017-07-01,Rare Earths,
2017-08-01,Rare Earths,
2017-09-01,Rare Earths,
2017-10-01,Rare Earths,
2017-11-01,Rare Earths,
2017-12-01,Rare Earths,
2018-01-01,Rare Earths,
2018-02-01,Rare Earths,
2018-03-01,Rare Earths,35.80785295649614
2018-04-01,Rare Earths,35.053554420917486
2018-05-01,Rare Earths,18.86717294689325
2018-06-01,Rare Earths,25.639483296841167
2018-07-01,Rare Earths,28.058291610395518
2018-08-01,Rare Earths,26.21820324912856
2018-09-01,Rare Earths,25.37692587716553
2018-10-01,Rare Earths,16.495488077571842
2018-11-01,Rare Earths,7.754947898851434
2018-12-01,Rare Earths,-2.882919051726171
2019-01-01,Rare Earths,-2.2980485065321363
2019-02-01,Rare Earths,-10.069791598931252
2019-03-01,Rare Earths,-7.839204070393592
2019-04-01,Rare Earths,-12.688755261747536
2019-05-01,Rare Earths,-9.12324009070776
2019-06-01,Rare Earths,-10.795290271960077
2019-07-01,Rare Earths,-4.798404006195061
2019-08-01,Rare Earths,-3.6179693356545157
2019-09-01,Rare Earths,-6.4235220642882425
2019-10-01,Rare Earths,-8.838953680939875
2019-11-01,Rare Earths,-6.737050407857034
2019-12-01,Rare Earths,-1.8370599268605383
2020-01-01,Rare Earths,-2.40469373557308
2020-02-01,Rare Earths,-14.800869566944932
2020-03-01,Rare Earths,-10.738198505302032
2020-04-01,Rare Earths,-8.557972258869594
2020-05-01,Rare Earths,2.2436214434018686
2020-06-01,Rare Earths,-7.653313649727621
2020-07-01,Rare Earths,-15.276718476306497
2020-08-01,Rare Earths,-13.749176532520691
2020-09-01,Rare Earths,-8.130430350247066
2020-10-01,Rare Earths,-1.4184891996795264
2020-11-01,Rare Earths,4.1210205247033365
2020-12-01,Rare Earths,10.524860761227483
2021-01-01,Rare Earths,20.543634991207664
2021-02-01,Rare Earths,75.14862466236859
2021-03-01,Rare Earths,75.98600721913208
2021-04-01,Rare Earths,81.56483191834782
2021-05-01,Rare Earths,50.579362146190725
2021-06-01,Rare Earths,70.7186417601772
2021-07-01,Rare Earths,82.92482114093917
2021-08-01,Rare Earths,84.91210034642039
2021-09-01,Rare Earths,87.33605230812026
2021-10-01,Rare Earths,85.88622723900625
2021-11-01,Rare Earths,79.72097483307472
2021-12-01,Rare Earths,66.86061721620706
2022-01-01,Rare Earths,59.11130459011584
2022-02-01,Rare Earths,55.03141874755874
2022-03-01,Rare Earths,65.06157992181535
2022-04-01,Rare Earths,69.39569711868886
2022-05-01,Rare Earths,76.37814158618754
2022-06-01,Rare Earths,69.30434450984512
2022-07-01,Rare Earths,66.02732945225331
2022-08-01,Rare Earths,56.19165453074123
2022-09-01,Rare Earths,45.30668402555833
2022-10-01,Rare Earths,31.232629701233492
2022-11-01,Rare Earths,22.183665561690685
2022-12-01,Rare Earths,14.294102331948453
2023-01-01,Rare Earths,7.679889504604881
2023-02-01,Rare Earths,1.5923063151841201
2023-03-01,Rare Earths,0.5308899342970905
2023-04-01,Rare Earths,-3.627304135584643
2023-05-01,Rare Earths,-13.975003979433508
2023-06-01,Rare Earths,-22.11104540658356
2023-07-01,Rare Earths,-28.366743850206927
2023-08-01,Rare Earths,-29.270982621129495
2023-09-01,Rare Earths,-29.278457674756897
2023-10-01,Rare Earths,-29.258875612322168
2023-11-01,Rare Earths,-28.266642016281438
