period_dt,broad_group,Adversary,Intermediary
2023-02-01,Polysilicon,8700910.0,4725661.0
2023-02-01,Rare Earths,229903663.0,94221772.0
2023-03-01,Gallium/Germanium,367024347.0,32628251.0
2023-03-01,Graphite,59140888.0,97145002.0
2023-03-01,Polysilicon,7612099.0,35536626.0
2023-03-01,Rare Earths,308551595.0,135544729.0
2023-04-01,Gallium/Germanium,348109153.0,11547186.0
2023-04-01,Graphite,58635895.0,65131729.0
2023-04-01,Polysilicon,9304818.0,6456480.0
2023-04-01,Rare Earths,309575823.0,118717883.0
2023-05-01,Gallium/Germanium,301245455.0,19708676.0
2023-05-01,Graphite,62819755.0,65628921.0
2023-05-01,Polysilicon,8151175.0,13443228.0
2023-05-01,Rare Earths,281538609.0,105829406.0
2023-06-01,Gallium/Germanium,308866221.0,18103439.0
2023-06-01,Graphite,73453946.0,50083155.0
2023-06-01,Polysilicon,5692524.0,51584909.0
2023-06-01,Rare Earths,257800096.0,109659379.0
2023-07-01,Gallium/Germanium,318845418.0,20218736.0
2023-07-01,Graphite,66952024.0,71958398.0
2023-07-01,Polysilicon,4904665.0,18561388.0
2023-07-01,Rare Earths,252658451.0,107863414.0
2023-08-01,Gallium/Germanium,287767895.0,11369611.0
2023-08-01,Graphite,69744609.0,53544177.0
2023-08-01,Polysilicon,5554138.0,1766247.0
2023-08-01,Rare Earths,233437840.0,102125156.0
2023-09-01,Gallium/Germanium,275605998.0,35876078.0
2023-09-01,Graphite,63288236.0,51727572.0
2023-09-01,Polysilicon,5542261.0,3735654.0
2023-09-01,Rare Earths,228288149.0,101910117.0
2023-10-01,Gallium/Germanium,187670081.0,32084600.0
2023-10-01,Graphite,49077624.0,55502745.0
2023-10-01,Polysilicon,3742986.0,6900676.0
2023-10-01,Rare Earths,175787829.0,97108883.0
2023-11-01,Gallium/Germanium,217916144.0,80520513.0
2023-11-01,Graphite,100595516.0,75412372.0
2023-11-01,Polysilicon,3200801.0,18062548.0
2023-11-01,Rare Earths,192420310.0,100226964.0
2023-12-01,Gallium/Germanium,247218585.0,57038105.0
2023-12-01,Graphite,31846581.0,18420643.0
2023-12-01,Polysilicon,5573548.0,16771791.0
2023-12-01,Rare Earths,198417967.0,94438586.0
2024-01-01,Gallium/Germanium,209554984.0,15716119.0
2024-01-01,Graphite,35370040.0,25397137.0
2024-01-01,Polysilicon,8049015.0,10521081.0
2024-01-01,Rare Earths,219681802.0,120149436.0
2024-02-01,Gallium/Germanium,199003774.0,9717393.0
2024-02-01,Graphite,43269931.0,37431194.0
2024-02-01,Polysilicon,3596331.0,23903065.0
2024-02-01,Rare Earths,146985208.0,83031550.0
2024-03-01,Gallium/Germanium,240832222.0,14240427.0
2024-03-01,Graphite,54241036.0,66359641.0
2024-03-01,Polysilicon,6039202.0,23735879.0
2024-03-01,Rare Earths,202111578.0,108370162.0
2024-04-01,Gallium/Germanium,246358436.0,31730768.0
2024-04-01,Graphite,58560876.0,47395205.0
2024-04-01,Polysilicon,9354062.0,42753457.0
2024-04-01,Rare Earths,185020180.0,113798781.0
2024-05-01,Gallium/Germanium,224556353.0,26573726.0
