broad_group,period_dt,bloc,weighted_price,q25,q75
Graphite,2022-02-01,Intermediary,5.091096325895869,0.8739191664312664,9.638541898537945
Graphite,2022-03-01,Adversary,2.5475326960601308,1.515976991030049,3.750862020504565
Graphite,2022-03-01,Intermediary,4.043593695036076,0.7547859254198791,8.37145940539492
Graphite,2022-04-01,Adversary,1.7157494752624425,1.0500323889687202,1.898678623540856
Graphite,2022-04-01,Intermediary,2.426948698299537,0.8195603409633285,1.8470247749716615
Graphite,2022-05-01,Adversary,2.0791484259021296,1.4589479747437173,3.252721419052992
Graphite,2022-05-01,Intermediary,2.562439836781686,0.8633360595955121,1.8014923627343844
Graphite,2022-06-01,Adversary,2.1790357082494523,1.3014224074679313,3.1134848299241624
Graphite,2022-06-01,Intermediary,2.7395505319490803,0.8224374407162521,3.604811990990878
Graphite,2022-07-01,Adversary,2.179380546341493,1.553035179402348,2.982994577010293
Graphite,2022-07-01,Intermediary,3.093974800714023,0.8774170926951542,7.00531042992823
Graphite,2022-08-01,Adversary,2.100756417696167,1.573657767988959,2.750290877126685
Graphite,2022-08-01,Intermediary,3.7577345168906,0.882891413927319,8.069233161897074
Graphite,2022-09-01,Adversary,2.39858122982039,1.3978165043901756,3.3403939274073324
Graphite,2022-09-01,Intermediary,3.4609396410029807,0.8658354253624817,7.719240758780881
Graphite,2022-10-01,Adversary,2.806506919334028,1.557522436457541,4.1694572938493595
Graphite,2022-10-01,Intermediary,3.953306909118922,0.8686428830797805,7.843069673438845
Graphite,2022-11-01,Adversary,2.893521002284081,1.605282454115579,4.2116152961606765
Graphite,2022-11-01,Intermediary,3.6997324658692805,0.8439552831015161,7.882345047616857
Graphite,2022-12-01,Adversary,1.9948424916971637,1.4368228121319138,2.764635050434134
Graphite,2022-12-01,Intermediary,3.236012261574805,0.8687343436151194,7.144756031631037
Graphite,2023-01-01,Adversary,1.7287011799168788,1.38837376692434,2.0038924897955206
Graphite,2023-01-01,Intermediary,3.832380851835739,0.8547161876869617,8.042973851085865
Graphite,2023-02-01,Adversary,2.2794596616170897,1.6662625382883476,2.5504690323569736
Graphite,2023-02-01,Intermediary,3.5372385817442282,0.7571522334563878,7.901714753152809
Graphite,2023-03-01,Adversary,1.6980441441080085,1.302522689976864,2.129487141958233
Graphite,2023-03-01,Intermediary,3.539665145388614,0.9617735071741759,7.686348808132406
Graphite,2023-04-01,Adversary,1.5813897360132072,1.114513964294993,1.9740643442407486
Graphite,2023-04-01,Intermediary,2.9414666830272846,0.802350394181394,6.513800527404361
Graphite,2023-05-01,Adversary,1.4910902264303634,1.3496856620168955,1.613723046059777
Graphite,2023-05-01,Intermediary,3.0489130722613105,0.8026103533758829,6.956906047417275
Graphite,2023-06-01,Adversary,1.7726326971745825,1.1963023214062865,1.5579328282150215
Graphite,2023-06-01,Intermediary,2.4703980316193,0.7956370055048144,3.8263401376817865
Graphite,2023-07-01,Adversary,1.623620255303513,1.022261023876075,1.9237254384120164
Graphite,2023-07-01,Intermediary,3.580602122156285,0.9319880025180642,7.0195428651685985
Graphite,2023-08-01,Adversary,1.9788199581545245,0.8742531998706106,1.7201501437422082
Graphite,2023-08-01,Intermediary,2.51631404593048,0.770892876767431,6.45938227367604
Graphite,2023-09-01,Adversary,1.9241658793007903,0.9059071957411896,2.931267109867382
Graphite,2023-09-01,Intermediary,2.2491529853286214,0.6636433407953501,1.795082088452273
Graphite,2023-10-01,Adversary,1.5811996546064486,0.8323503437368084,2.2561679136618236
Graphite,2023-10-01,Intermediary,2.6880296290800247,0.6366759385288523,6.29751778582224
Graphite,2023-11-01,Adversary,1.7595582689099598,1.1641732304301056,2.4121350429064736
Graphite,2023-11-01,Intermediary,2.3705931215982345,0.6014280831365478,4.945833124678056
Graphite,2023-12-01,Adversary,1.6817766981800852,0.7922157436702261,2.507250434284982
Graphite,2023-12-01,Intermediary,0.8446865111849648,0.5917884719776211,0.6630924372191611
Graphite,2024-01-01,Adversary,1.227947782178488,0.7232229828135716,1.411121754308186
Graphite,2024-01-01,Intermediary,1.0572702517552666,0.5123443346218046,0.6577686564445085
Graphite,2024-02-01,Adversary,1.6802496187226312,0.8799625974870001,2.110386102917791
Graphite,2024-02-01,Intermediary,1.8618191093341099,0.5542778001832521,1.5589344225965909
Graphite,2024-03-01,Adversary,1.5485331540068743,0.6461663452092514,2.2353122606746307
Graphite,2024-03-01,Intermediary,2.378336413491577,0.5739060901989638,4.735235643257896
Graphite,2024-04-01,Adversary,1.7619946684812693,1.1848949293609339,2.4063293940915806
Graphite,2024-04-01,Intermediary,1.8924771374417606,0.545843080192341,3.162255216021353
Graphite,2024-05-01,Adversary,1.890360096129148,1.2873741679377608,2.3373759793621542
Graphite,2024-05-01,Intermediary,1.9978201735806083,0.5829916853320408,4.230072225220618
Graphite,2024-06-01,Adversary,1.5108512885625893,0.7088247861765842,2.181727294563071
Graphite,2024-06-01,Intermediary,1.50876104799771,0.5387149611694637,0.9383263050519085
Graphite,2024-07-01,Adversary,1.0668117750055832,0.7769525945399127,1.190938288303167
Graphite,2024-07-01,Intermediary,1.6194619522554277,0.5132383262104124,2.635998589348807
Graphite,2024-08-01,Adversary,1.5338072636611422,1.1783867873934915,1.7377049599087084
Graphite,2024-08-01,Intermediary,1.3973814647477543,0.5823716316783478,1.8843247574939432
Graphite,2024-09-01,Adversary,1.5261821157433786,0.505217416714681,2.2034481146640035
Graphite,2024-09-01,Intermediary,1.2301889313193575,0.44869534906915987,0.9637606752970028
Graphite,2024-10-01,Adversary,1.2547652011647517,0.5205833600349861,1.8506873295814248
Graphite,2024-10-01,Intermediary,1.6290603808430193,0.5504774415880754,2.524753948993588
Graphite,2024-11-01,Adversary,1.8764904062142762,1.4075480582791282,2.526175547497302
Graphite,2024-11-01,Intermediary,1.5808993653930687,0.46428579261154246,2.4058642948894415
Graphite,2024-12-01,Adversary,1.3297999227084052,0.48414273588759726,1.9137330033116067
Graphite,2024-12-01,Intermediary,1.3131614185548086,0.45085205601377265,2.1432828481190485
Rare Earths,2017-01-01,Adversary,42.52335662163672,42.52335663239895,42.523356700524644
Rare Earths,2017-01-01,Intermediary,42.52335669301527,42.52335660924215,42.5233567179856
Rare Earths,2017-02-01,Adversary,42.52335668891906,42.523356570369536,42.523356669524006
Rare Earths,2017-02-01,Intermediary,42.52335666866382,42.5233566104424,42.52335678863893
Rare Earths,2017-03-01,Adversary,42.52335665006494,42.5233566052236,42.52335667408655
Rare Earths,2017-03-01,Intermediary,42.523356610546344,42.52335664552077,42.52335671979901
Rare Earths,2017-04-01,Adversary,42.523356658702085,42.5233566182566,42.52335663754082
Rare Earths,2017-04-01,Intermediary,42.52335668113173,42.52335661403362,42.52335672165342
Rare Earths,2017-05-01,Adversary,42.52335664264388,42.523356594137915,42.52335670649539
Rare Earths,2017-05-01,Intermediary,42.523356631343646,42.52335656874715,42.52335670272984
Rare Earths,2017-06-01,Adversary,42.523356646284405,42.523356611853714,42.52335666394226
Rare Earths,2017-06-01,Intermediary,42.52335669648413,42.52335655429552,42.523356731620275
Rare Earths,2017-07-01,Adversary,42.52335665868034,42.52335663025419,42.52335668515331
Rare Earths,2017-07-01,Intermediary,42.52335667980167,42.52335662799566,42.52335674793839
Rare Earths,2017-08-01,Adversary,42.52335660950646,42.52335658845627,42.52335667494762
Rare Earths,2017-08-01,Intermediary,42.523356656973114,42.52335653699286,42.52335673469968
Rare Earths,2017-09-01,Adversary,42.52335661527335,42.52335657723799,42.52335665967142
Rare Earths,2017-09-01,Intermediary,42.523356613950064,42.52335658279006,42.5233567181829
Rare Earths,2017-10-01,Adversary,42.52335660724256,42.523356577715944,42.523356679956706
Rare Earths,2017-10-01,Intermediary,42.52335660970531,42.52335655463674,42.52335673210338
Rare Earths,2017-11-01,Adversary,42.52335663946051,42.52335661086466,42.52335667336506
Rare Earths,2017-11-01,Intermediary,42.52335666249329,42.523356593454714,42.52335673246537
Rare Earths,2017-12-01,Adversary,42.52335665389903,42.523356616878075,42.52335665810641
Rare Earths,2017-12-01,Intermediary,42.52335668943909,42.5233566187501,42.523356721030034
Rare Earths,2018-01-01,Adversary,18.757001455753397,14.638677552856437,20.21820524597399
