partner_name,mean_stock,sem_stock,mean_base,sem_base,ratio,ratio_error,broad_group
Mozambique,7100.0,,1000.0,,7.1,,Graphite
Netherlands,1263066.6666666667,289632.53347033454,1313584.5136666668,263966.9610984666,0.9615419895146393,0.29317440675552975,Graphite
New Zealand,18000.0,,15334.0,3083.346017991926,1.173862005999739,,Graphite
Philippines,51000.0,13000.0,19798.666666666668,8646.585663974218,2.5759310391272137,1.3025765457439984,Graphite
Poland,2594173.3333333335,859528.2328179284,4321436.916666667,330259.79892558913,0.6003034137391376,0.20412111294192725,Graphite
Russia,358455.6666666667,32140.35470315231,323357.5833333333,46196.97644892029,1.108542632498439,0.18698052370202997,Graphite
Singapore,37024.333333333336,37008.33337386474,41416.333333333336,11630.592284309445,0.893954880924595,0.9281630697532112,Graphite
Slovakia,21307.0,,13715.6,3977.6682943654314,1.5534865408731662,,Graphite
South Africa,60760.333333333336,24695.965394731542,44912.36363636364,10853.619105058273,1.3528642986880848,0.6397220801843394,Graphite
South Korea,10344835.333333334,3960122.4369195257,12557558.166666666,980862.2193432893,0.8237935429829917,0.3218553533668481,Graphite
Spain,673564.0,331383.4262743587,895621.9166666666,155023.2172736901,0.7520628821890338,0.3922348304796965,Graphite
Sweden,101.0,,29788.666666666668,20069.13998766376,0.003390551216346261,,Graphite
Taiwan,1666176.0946666666,283517.128332677,1471723.5939166667,79399.73354205409,1.1321256936790063,0.20209369446071498,Graphite
Tanzania,39500.0,500.0,29375.0,7318.284748946755,1.3446808510638297,0.33543664515866256,Graphite
Thailand,2596618.9596666666,281719.0747355132,1500573.4166666667,168382.61055345004,1.7304178061708742,0.2700929213137621,Graphite
Turkey,1762668.3333333333,367662.6350212621,1918676.3410833331,319754.48330318264,0.9186897735644597,0.24527522823170103,Graphite
UAE,178250.0,125750.0,245549.0909090909,110549.79355487936,0.7259240884992447,0.6075168954799944,Graphite
USA,7711044.004000001,256198.3326183317,7741453.583333333,955017.4313694366,0.9960718514932646,0.12725803821881346,Graphite
United Kingdom,480357.58433333336,276546.19242743356,556851.306,84391.5593792416,0.8626316920828653,0.5135439106632,Graphite
Vietnam,636783.6666666666,3860.030066089013,645330.25,60479.971268372035,0.986756264202192,0.0926714552206739,Graphite
