partner_name,mean_pre,sem_pre,mean_post,sem_post,net_change_kg,net_change_se,broad_group
Mexico,736234.5,318748.23200312286,574984.0,201079.3152518014,-161250.5,376873.0906117469,Graphite
Netherlands,1026707.8333333334,222441.77970432572,3255725.1666666665,919983.0083883947,2229017.333333333,946493.0433349148,Graphite
New Zealand,18666.666666666668,666.6666666666669,28000.0,10000.0,9333.333333333332,10022.197585581938,Graphite
Philippines,34891.333333333336,17771.394855528677,2806.5,1426.7476709869431,-32084.833333333336,17828.574929807986,Graphite
Poland,2997001.6666666665,492632.1216175864,2208525.0,636018.7137852156,-788476.6666666665,804491.2749896325,Graphite
Russia,371986.8333333333,57806.1340207748,216790.0,41265.675882020885,-155196.8333333333,71023.97578584135,Graphite
Singapore,39970.166666666664,18928.34607216853,15054.2,5569.381782567972,-24915.966666666664,19730.694323002874,Graphite
Slovakia,11548.0,6164.703588440675,61105.666666666664,41236.87126966729,49557.666666666664,41695.121086818355,Graphite
South Africa,67347.0,14549.302512491793,41167.0,14674.226771224894,-26180.0,20664.344531906485,Graphite
South Korea,12500589.333333334,2186349.832533496,5302014.333333333,914886.5385804101,-7198575.000000001,2370051.258664017,Graphite
Spain,826116.1666666666,222309.93018702764,703856.5,236950.79588158522,-122259.66666666663,324911.34903028206,Graphite
Sweden,101.0,0.0,84242.4,46679.30890405298,84141.4,46679.30890405298,Graphite
Taiwan,1663823.714,130349.90063664771,1396779.5,183940.51300239252,-267044.2139999999,225444.46970277905,Graphite
Tanzania,24812.5,9391.58255655918,24000.0,0.0,-812.5,9391.58255655918,Graphite
Thailand,1877311.8131666668,377423.61489160964,1659513.6666666667,390100.68979027,-217798.14650000003,542795.6643643117,Graphite
Turkey,1792926.3488333335,359603.28679069964,1267020.6666666667,189064.39295253644,-525905.6821666667,406275.60664305865,Graphite
UAE,147188.0,55252.476796067705,3006370.6666666665,727432.8963080451,2859182.6666666665,729528.2412787123,Graphite
USA,7645483.668666667,677647.6553680204,7314623.833333333,351837.6207511467,-330859.8353333343,763541.7841883986,Graphite
United Kingdom,601417.0708333333,162062.9591545056,538531.5,108833.74548541152,-62885.5708333333,195215.74446314079,Graphite
Vietnam,566147.8333333334,39655.280397795425,737718.0,158828.2689009317,171570.16666666663,163703.8798119777,Graphite
