period_dt,broad_group,bloc,qty
2018-11-01,Polysilicon,Adversary,72353.122
2018-11-01,Polysilicon,Intermediary,12101.0
2018-11-01,Rare Earths,Adversary,8794715.485
2018-11-01,Rare Earths,Intermediary,4233071.0
2018-12-01,Gallium/Germanium,Adversary,11013018.0
2018-12-01,Gallium/Germanium,Intermediary,3485934.342
2018-12-01,Graphite,Adversary,34722539.0
2018-12-01,Graphite,Intermediary,8600436.0
2018-12-01,Polysilicon,Adversary,197030.0
2018-12-01,Polysilicon,Intermediary,266.0
2018-12-01,Rare Earths,Adversary,9068498.0
2018-12-01,Rare Earths,Intermediary,3837380.0
2019-01-01,Gallium/Germanium,Adversary,11713821.139
2019-01-01,Gallium/Germanium,Intermediary,3600812.0
2019-01-01,Graphite,Adversary,33905116.0
2019-01-01,Graphite,Intermediary,7201291.0
2019-01-01,Polysilicon,Adversary,110186.0
2019-01-01,Polysilicon,Intermediary,608.0
2019-01-01,Rare Earths,Adversary,7897058.452
2019-01-01,Rare Earths,Intermediary,4708216.137
2019-02-01,Gallium/Germanium,Adversary,8924195.868
2019-02-01,Gallium/Germanium,Intermediary,2303834.682
2019-02-01,Graphite,Adversary,27204262.397
2019-02-01,Graphite,Intermediary,5270272.0
2019-02-01,Polysilicon,Adversary,55975.403
2019-02-01,Polysilicon,Intermediary,219.0
2019-02-01,Rare Earths,Adversary,4445913.902
2019-02-01,Rare Earths,Intermediary,2745558.0
2019-03-01,Gallium/Germanium,Adversary,10389814.85
2019-03-01,Gallium/Germanium,Intermediary,3126508.0
2019-03-01,Graphite,Adversary,29619357.372
2019-03-01,Graphite,Intermediary,9888863.0
2019-03-01,Polysilicon,Adversary,163336.7
2019-03-01,Polysilicon,Intermediary,206.4
2019-03-01,Rare Earths,Adversary,7443417.45
2019-03-01,Rare Earths,Intermediary,3314144.0
2019-04-01,Gallium/Germanium,Adversary,9306876.692
2019-04-01,Gallium/Germanium,Intermediary,3004089.507
2019-04-01,Graphite,Adversary,27663085.0
2019-04-01,Graphite,Intermediary,8099421.634
2019-04-01,Polysilicon,Adversary,56077.0
2019-04-01,Polysilicon,Intermediary,14546.198
2019-04-01,Rare Earths,Adversary,6905600.353
2019-04-01,Rare Earths,Intermediary,3531894.0
2019-05-01,Gallium/Germanium,Adversary,10939760.0
2019-05-01,Gallium/Germanium,Intermediary,2872199.0
2019-05-01,Graphite,Adversary,26819787.0
2019-05-01,Graphite,Intermediary,9528295.0
2019-05-01,Polysilicon,Adversary,50235.065
2019-05-01,Polysilicon,Intermediary,6664.023
2019-05-01,Rare Earths,Adversary,7301337.8
2019-05-01,Rare Earths,Intermediary,4891618.0
2019-06-01,Gallium/Germanium,Adversary,10813222.183
2019-06-01,Gallium/Germanium,Intermediary,3863778.643
2019-06-01,Graphite,Adversary,33676830.344
2019-06-01,Graphite,Intermediary,7592514.0
2019-06-01,Polysilicon,Adversary,78078.0
2019-06-01,Polysilicon,Intermediary,531.0
2019-06-01,Rare Earths,Adversary,7116072.789
2019-06-01,Rare Earths,Intermediary,4117997.0
2019-07-01,Gallium/Germanium,Adversary,9086700.482
2019-07-01,Gallium/Germanium,Intermediary,3443225.685
2019-07-01,Graphite,Adversary,28339445.0
2019-07-01,Graphite,Intermediary,8848277.0
2019-07-01,Polysilicon,Adversary,117525.513
2019-07-01,Polysilicon,Intermediary,40013.695999999996
2019-07-01,Rare Earths,Adversary,8880265.946
2019-07-01,Rare Earths,Intermediary,4256244.068
2019-08-01,Gallium/Germanium,Adversary,12181759.696
2019-08-01,Gallium/Germanium,Intermediary,2992174.2
2019-08-01,Graphite,Adversary,29645315.0
2019-08-01,Graphite,Intermediary,9202379.0
2019-08-01,Polysilicon,Adversary,115413.0
2019-08-01,Polysilicon,Intermediary,103.811
2019-08-01,Rare Earths,Adversary,7630562.913
2019-08-01,Rare Earths,Intermediary,4959877.0
2019-09-01,Gallium/Germanium,Adversary,10879296.72
2019-09-01,Gallium/Germanium,Intermediary,3197643.0
2019-09-01,Graphite,Adversary,23900537.0
2019-09-01,Graphite,Intermediary,9061490.0
2019-09-01,Polysilicon,Adversary,199824.955
2019-09-01,Polysilicon,Intermediary,559.15
2019-09-01,Rare Earths,Adversary,6552183.0
2019-09-01,Rare Earths,Intermediary,3592598.0
2019-10-01,Gallium/Germanium,Adversary,10389860.972000001
2019-10-01,Gallium/Germanium,Intermediary,2939543.691
2019-10-01,Graphite,Adversary,22695425.0
2019-10-01,Graphite,Intermediary,8368005.0
2019-10-01,Polysilicon,Adversary,158639.941
2019-10-01,Polysilicon,Intermediary,1827.6
2019-10-01,Rare Earths,Adversary,6661950.958
2019-10-01,Rare Earths,Intermediary,4288462.0
2019-11-01,Gallium/Germanium,Adversary,11147960.766
2019-11-01,Gallium/Germanium,Intermediary,2639339.0379999997
2019-11-01,Graphite,Adversary,27862382.0
2019-11-01,Graphite,Intermediary,8855573.0
2019-11-01,Polysilicon,Adversary,79390.573
2019-11-01,Polysilicon,Intermediary,302.0
2019-11-01,Rare Earths,Adversary,5468375.0
2019-11-01,Rare Earths,Intermediary,3722248.0
2019-12-01,Gallium/Germanium,Adversary,14758308.502
2019-12-01,Gallium/Germanium,Intermediary,2415192.768
2019-12-01,Graphite,Adversary,30362552.0
2019-12-01,Graphite,Intermediary,9317543.0
2019-12-01,Polysilicon,Adversary,104729.368
2019-12-01,Polysilicon,Intermediary,211225.974
2019-12-01,Rare Earths,Adversary,7184879.525
2019-12-01,Rare Earths,Intermediary,4690841.0
2020-01-01,Gallium/Germanium,Adversary,11001612.0
