period_dt,sq,broad_group
2023-05-01,0.6089043554960866,Gallium/Germanium
2023-06-01,0.6564676164974749,Gallium/Germanium
2023-07-01,0.5668735468765085,Gallium/Germanium
2023-08-01,0.7462465968540726,Gallium/Germanium
2023-09-01,0.625098105894707,Gallium/Germanium
2023-10-01,0.5559113650206109,Gallium/Germanium
2023-11-01,0.4335182962288008,Gallium/Germanium
2023-12-01,0.4655918941528771,Gallium/Germanium
2024-01-01,0.5498820517873828,Gallium/Germanium
2024-02-01,0.5685367819674125,Gallium/Germanium
2024-03-01,0.44717439592536445,Gallium/Germanium
2024-04-01,0.4688911911282594,Gallium/Germanium
2024-05-01,0.4696868911525008,Gallium/Germanium
2024-06-01,0.5822696868933065,Gallium/Germanium
2024-07-01,0.4585139912810395,Gallium/Germanium
2024-08-01,0.48498334362399154,Gallium/Germanium
2024-09-01,0.4170746740807832,Gallium/Germanium
2024-10-01,0.4415828546389573,Gallium/Germanium
2024-11-01,0.31990329361515,Gallium/Germanium
2024-12-01,0.2988735806372353,Gallium/Germanium
2017-01-01,0.07761942200253052,Rare Earths
2017-02-01,0.07420501150237084,Rare Earths
2017-03-01,0.07965061542507157,Rare Earths
2017-04-01,0.08476124722990047,Rare Earths
2017-05-01,0.07560062682433283,Rare Earths
2017-06-01,0.07809325122038217,Rare Earths
2017-07-01,0.07623282192830035,Rare Earths
2017-08-01,0.07473347505957052,Rare Earths
2017-09-01,0.08098423505542166,Rare Earths
2017-10-01,0.07857385102368021,Rare Earths
2017-11-01,0.07527419785772281,Rare Earths
2017-12-01,0.07476104143204058,Rare Earths
2018-01-01,0.07510562904573849,Rare Earths
2018-02-01,0.07629904652206193,Rare Earths
2018-03-01,0.08338134020130225,Rare Earths
2018-04-01,0.08097656800453283,Rare Earths
2018-05-01,0.07823598606291914,Rare Earths
2018-06-01,0.08243516248474086,Rare Earths
2018-07-01,0.07943838528344126,Rare Earths
2018-08-01,0.07722895019356285,Rare Earths
2018-09-01,0.08468606356191484,Rare Earths
2018-10-01,0.08410179261131684,Rare Earths
2018-11-01,0.08832937044118482,Rare Earths
2018-12-01,0.08137674474426432,Rare Earths
2019-01-01,0.08138346813833258,Rare Earths
2019-02-01,0.09023621035643203,Rare Earths
2019-03-01,0.08568282768206263,Rare Earths
2019-04-01,0.09220819185972089,Rare Earths
2019-05-01,0.08596370755973883,Rare Earths
2019-06-01,0.09068321959837691,Rare Earths
2019-07-01,0.08681119621947096,Rare Earths
2019-08-01,0.08900661501203962,Rare Earths
2019-09-01,0.08516094431794811,Rare Earths
2019-10-01,0.0881568832892347,Rare Earths
2019-11-01,0.09623857237747842,Rare Earths
2019-12-01,0.0909483608251517,Rare Earths
2020-01-01,0.08404682063629922,Rare Earths
2020-02-01,0.09181185306630378,Rare Earths
2020-03-01,0.09134574662322917,Rare Earths
2020-04-01,0.08574668425012094,Rare Earths
2020-05-01,0.08489997275235829,Rare Earths
2020-06-01,0.09350497043475488,Rare Earths
2020-07-01,0.08731619670777287,Rare Earths
2020-08-01,0.08433172797697108,Rare Earths
2020-09-01,0.08290272215306763,Rare Earths
2020-10-01,0.0782440985455478,Rare Earths
2020-11-01,0.07800108093614944,Rare Earths
2020-12-01,0.08051225002469768,Rare Earths
