period_dt,bloc,val,qty,uv,hs6,broad_group
2022-01-01,Adversary,25520180.0,15439614.0,1.6529027215317689,250410,Graphite
2022-01-01,Intermediary,2166320.0,2906666.0,0.7452937489205846,250410,Graphite
2022-02-01,Adversary,14872099.0,7018562.0,2.1189666772196354,250410,Graphite
2022-02-01,Intermediary,1977735.0,1805410.0,1.095449233138179,250410,Graphite
2022-03-01,Adversary,20080318.0,7973207.0,2.5184744356944453,250410,Graphite
2022-03-01,Intermediary,2992947.0,2106459.0,1.420842750796479,250410,Graphite
2022-04-01,Adversary,19663967.0,8569386.0,2.2946763046967424,250410,Graphite
2022-04-01,Intermediary,3557228.0,3502686.0,1.0155714785738716,250410,Graphite
2022-05-01,Adversary,33334059.0,12842770.0,2.595550570476618,250410,Graphite
2022-05-01,Intermediary,4126040.0,4352599.0,0.9479485704977647,250410,Graphite
2022-06-01,Adversary,28185102.0,12776398.0,2.206028804049467,250410,Graphite
2022-06-01,Intermediary,2639108.0,3596236.0,0.7338528394688224,250410,Graphite
2022-07-01,Adversary,25556311.0,12682126.406,2.0151440051811136,250410,Graphite
2022-07-01,Intermediary,4365556.0,4465557.0,0.977606153051008,250410,Graphite
2022-08-01,Adversary,35824301.0,14878089.0,2.407856344991618,250410,Graphite
2022-08-01,Intermediary,3142983.0,3511170.0,0.8951383726791924,250410,Graphite
2022-09-01,Adversary,28449326.0,10521134.303,2.704016998612778,250410,Graphite
2022-09-01,Intermediary,2328701.0,3706622.0,0.6282542433514936,250410,Graphite
2022-10-01,Adversary,24748492.0,11118658.674,2.2258523015795206,250410,Graphite
2022-10-01,Intermediary,1482372.0,1959450.0,0.7565245349460308,250410,Graphite
2022-11-01,Adversary,29438550.0,11407333.0,2.5806689433893095,250410,Graphite
2022-11-01,Intermediary,2353897.0,2797805.0,0.8413370481502463,250410,Graphite
2022-12-01,Adversary,29338573.0,12100649.0,2.424545410746151,250410,Graphite
2022-12-01,Intermediary,2568955.0,2711179.118,0.9475416002374212,250410,Graphite
2023-01-01,Adversary,23349607.0,10062499.129999999,2.3204580391352545,250410,Graphite
2023-01-01,Intermediary,3225774.0,4713917.0,0.6843086121372098,250410,Graphite
2023-02-01,Adversary,16666161.0,6921993.793,2.4077110581714156,250410,Graphite
2023-02-01,Intermediary,1567220.0,2549582.0,0.6146968405016979,250410,Graphite
2023-03-01,Adversary,25404607.0,10061419.0,2.5249526930545283,250410,Graphite
2023-03-01,Intermediary,2355623.0,2881587.0,0.8174741904374222,250410,Graphite
2023-04-01,Adversary,17176268.0,7911246.0,2.171120453086657,250410,Graphite
2023-04-01,Intermediary,2017827.0,3123600.0,0.6459940453323089,250410,Graphite
2023-05-01,Adversary,19407922.0,10083801.0,1.9246633288380046,250410,Graphite
2023-05-01,Intermediary,1899643.0,2821580.0,0.6732550556780244,250410,Graphite
2023-06-01,Adversary,18257464.0,8855679.0,2.0616673210490126,250410,Graphite
2023-06-01,Intermediary,2815462.0,3875662.0,0.7264467334870791,250410,Graphite
2023-07-01,Adversary,17652584.0,9598095.0,1.83917579478011,250410,Graphite
2023-07-01,Intermediary,1693607.0,2385985.093,0.709814577202809,250410,Graphite
2023-08-01,Adversary,18440772.0,10167441.672,1.813708167196457,250410,Graphite
2023-08-01,Intermediary,1805576.0,3094448.0,0.583488880730909,250410,Graphite
2023-09-01,Adversary,14473918.0,8547152.049,1.6934199739307807,250410,Graphite
2023-09-01,Intermediary,2107533.0,3651120.8789999997,0.5772290400248894,250410,Graphite
2023-10-01,Adversary,14497116.0,8795444.0,1.6482528909285308,250410,Graphite
2023-10-01,Intermediary,1829700.0,2984254.0,0.6131180522837534,250410,Graphite
2023-11-01,Adversary,44981004.0,32932040.0,1.3658735990846604,250410,Graphite
2023-11-01,Intermediary,4533731.0,7585923.0,0.5976505429860018,250410,Graphite
2023-12-01,Adversary,2517341.0,1906000.0,1.320745540398741,250410,Graphite
2023-12-01,Intermediary,451227.0,819725.0,0.5504614352374272,250410,Graphite
2024-01-01,Adversary,5090158.0,2892757.0,1.7596217034476107,250410,Graphite
2024-01-01,Intermediary,661598.0,1284137.0,0.5152082682766714,250410,Graphite
2024-02-01,Adversary,6976462.0,4425781.0,1.5763233652998194,250410,Graphite
2024-02-01,Intermediary,447891.0,636766.0,0.7033839746468875,250410,Graphite
2024-03-01,Adversary,15248536.0,8854883.0,1.7220482755108113,250410,Graphite
2024-03-01,Intermediary,886310.0,1440615.0,0.615230300947859,250410,Graphite
2024-04-01,Adversary,13615151.0,8864069.0,1.5359933457196688,250410,Graphite
2024-04-01,Intermediary,940319.0,1556448.0,0.6041441795678365,250410,Graphite
2024-05-01,Adversary,15955367.0,9112578.0,1.7509169194491394,250410,Graphite
2024-05-01,Intermediary,1107889.0,1856076.0,0.5968985106213324,250410,Graphite
2024-06-01,Adversary,17649515.0,10402207.0,1.6967086888388205,250410,Graphite
2024-06-01,Intermediary,1405547.0,2792600.0,0.50331125116379,250410,Graphite
2024-07-01,Adversary,13258286.0,9217846.0,1.438327999838574,250410,Graphite
2024-07-01,Intermediary,1531498.0,1141812.0,1.34128735728824,250410,Graphite
2024-08-01,Adversary,12970038.0,8712415.0,1.4886845954881627,250410,Graphite
2024-08-01,Intermediary,1244593.0,2521314.0,0.4936287189933503,250410,Graphite
2024-09-01,Adversary,14520933.0,7970013.0,1.8219459616941653,250410,Graphite
2024-09-01,Intermediary,2016102.0,2527830.0,0.7975623360748152,250410,Graphite
2024-10-01,Adversary,10316888.0,6800306.0,1.5171211413133467,250410,Graphite
2024-10-01,Intermediary,2104590.0,2512480.0,0.8376544290899828,250410,Graphite
2024-11-01,Adversary,17745286.0,10729081.0,1.6539427747819222,250410,Graphite
2024-11-01,Intermediary,2320169.0,2886023.0,0.8039329554892667,250410,Graphite
2024-12-01,Adversary,12060885.0,7792918.0,1.5476725149680775,250410,Graphite
2024-12-01,Intermediary,6044566.0,4790575.0,1.2617621058014956,250410,Graphite
2018-01-01,Adversary,6530319.0,70925.0,92.07358477264717,280461,Polysilicon
2018-01-01,Intermediary,3052976.0,156428.0,19.51681284680492,280461,Polysilicon
2018-02-01,Adversary,7827173.0,216097.022,36.22064259636119,280461,Polysilicon
2018-02-01,Intermediary,3645303.0,185750.66,19.62471088931797,280461,Polysilicon
2018-03-01,Adversary,6930053.0,114947.199,60.2890114790879,280461,Polysilicon
2018-03-01,Intermediary,1074165.0,70104.292,15.322385682177632,280461,Polysilicon
2018-04-01,Adversary,5614314.0,67957.0,82.61568344688553,280461,Polysilicon
2018-04-01,Intermediary,1728285.0,100389.015,17.21587765354606,280461,Polysilicon
2018-05-01,Adversary,6359496.0,66525.707,95.5945646695645,280461,Polysilicon
2018-05-01,Intermediary,381734.0,24073.0,15.857350558717235,280461,Polysilicon
2018-06-01,Adversary,5454731.0,46553.0,117.17249156874959,280461,Polysilicon
2018-06-01,Intermediary,3300069.0,206450.0,15.984834100266408,280461,Polysilicon
2018-07-01,Adversary,6097828.0,51295.722,118.87595616648109,280461,Polysilicon
2018-07-01,Intermediary,1058821.0,72011.0,14.703600838760744,280461,Polysilicon
2018-08-01,Adversary,5899022.0,52493.564,112.37610004914127,280461,Polysilicon
2018-08-01,Intermediary,1267602.0,68502.0,18.50459840588596,280461,Polysilicon
2018-09-01,Adversary,9477669.0,210974.0,44.92339814384711,280461,Polysilicon
2018-09-01,Intermediary,70897.0,1195.0,59.32803347280335,280461,Polysilicon
2018-10-01,Adversary,7053725.0,44947.0,156.9342781498209,280461,Polysilicon
2018-10-01,Intermediary,423648.0,39614.0,10.694400969354268,280461,Polysilicon
2018-11-01,Adversary,8740884.0,72343.122,120.82536332894232,280461,Polysilicon
2018-11-01,Intermediary,259255.0,12101.0,21.42426245764813,280461,Polysilicon
2018-12-01,Adversary,8786882.0,197030.0,44.59667055778308,280461,Polysilicon
2018-12-01,Intermediary,22639.0,266.0,85.10902255639098,280461,Polysilicon
2019-01-01,Adversary,8406607.0,110186.0,76.29469261067649,280461,Polysilicon
